EngineCoolantTemperature;EngineLoad;RPM;IntakeManifoldPressure;MassAirFlow;IntakeAirTemperature;Speed;ShortTermFuelTrimBank1;ThrottlePosition;TimingAdvance
95;32,2;1517;68;9,27;35;24;-0,016;28,2;0,624
96;80;2328;59;28,04;35;33;0,016;35,3;0,675
96;57,3;1692;59;14,52;34;41;0,008;31;0,686
97;65,9;2081;68;17,47;34;49;0,016;32,2;0,682
97;65,1;2503;23;16,44;34;49;0,039;27,1;0,698
97;31,8;1642;26;7,68;35;49;0;26,3;0,737
97;31,4;1615;31;7,56;35;48;-0,016;26,7;0,737
97;37,3;1613;44;9,02;35;49;0,031;27,5;0,725
97;70,6;1664;33;16,56;34;52;-0,055;32,2;0,671
97;37,3;1717;44;9,38;34;52;0,016;27,8;0,725
97;81,6;1782;67;21,34;34;58;0,031;34,1;0,659
97;78;1991;49;18,91;34;61;-0,109;32,2;0,671
96;38,4;2034;20;9,44;34;56;0;25,5;0,702
96;18;1787;20;4,66;35;41;0;22,4;0,635
96;42,7;803;33;4,37;36;14;0,016;20,4;0,651
95;32,5;800;29;3,86;36;3;0,047;20;0,58
95;35,3;782;33;3,86;36;0;0,047;20;0,592
95;36,1;794;34;3,92;36;0;0,047;20;0,549
95;38,4;794;34;4,36;36;0;0,039;20,4;0,529
95;38,4;794;32;4,03;37;0;0,039;20,4;0,553
95;38,8;791;32;4,34;37;0;-0,023;20,8;0,533
95;39,2;807;79;4,19;35;13;0,031;20,4;0,557
96;29;2470;80;6,93;35;26;0,055;25,1;0,682
96;91;2633;85;25,71;34;36;0,039;27,1;0,663
96;98,8;1867;78;27,83;34;46;-0,031;36,9;0,62
97;96,9;2403;33;33,98;34;49;0,031;37,3;0,659
97;0;1660;34;9,62;34;50;0,039;28,2;0,722
97;42;1696;18;10,58;34;48;0,016;29;0,718
97;17,6;1550;20;4,1;35;31;0,031;22;0,627
97;34,1;856;57;4,39;36;24;0,062;21,2;0,667
97;100;915;58;14,35;35;36;0;34,9;0,482
97;66,7;1299;46;12,79;34;47;-0,078;30,6;0,639
97;18;1560;20;3,29;35;42;0;21,2;0,706
96;18;1160;23;3,54;35;26;0,117;19,2;0,608
96;27,1;797;62;3,28;35;28;-0,008;20,4;0,631
96;80,4;1500;50;17,95;34;36;0;32,9;0,639
95;51,8;1842;19;11,97;34;34;0;29,4;0,694
95;32,9;1648;32;7,99;35;33;0,047;26,7;0,737
94;20;1605;21;5,93;35;28;0;22,4;0,749
94;19,6;1313;95;3,56;35;27;0,086;20,4;0,596
94;100;1515;45;21,55;34;37;0,078;35,3;0,557
94;23,5;1803;20;4,42;34;31;0;21,6;0,757
94;18;1376;32;3,67;35;2;0,086;20,4;0,612
93;38,4;789;31;4,27;36;0;0,016;20,8;0,549
94;34,1;810;32;3,7;36;0;-0,008;20;0,561
94;38,8;846;46;9,97;35;10;-0,008;22,7;0,541
94;14,5;1298;34;2,88;36;0;-0,008;18,8;0,745
